2021-06-13 10:29:21.616104 [47.106693333, 7.216835833] 36.29 1.1872934374527377 None 0 0 Started autonomous drive 
2021-06-13 10:29:25.795984 [47.106695167, 7.216838] 175.06 15.028124666707805 (47.106653985807164, 7.216847330313385) 1.0 -4.0 turn_to_on_spot 168.7516251035214 -6.308374896478654 2 
2021-06-13 10:29:25.897764 [47.106695167, 7.216838] 178.51 15.028124666707805 (47.106653985807164, 7.216847330313385) 1.0 -3.0 turn_to_on_spot 168.7516251035214 -9.758374896478585 2 
2021-06-13 10:29:25.999350 [47.106695167, 7.216838] 180.83 15.028124666707805 (47.106653985807164, 7.216847330313385) 0.0 -1.0 turn_to_on_spot 168.7516251035214 -12.078374896478635 2 
2021-06-13 10:29:26.101111 [47.106695167, 7.216838] 184.48 15.028124666707805 (47.106653985807164, 7.216847330313385) -1.0 0.0 turn_to_on_spot 168.7516251035214 -15.728374896478613 2 
2021-06-13 10:29:26.203268 [47.1066955, 7.216839833] 186.59 0.0 (47.106653985807164, 7.216847330313385) -2.0 1.0 turn_to_on_spot 168.7516251035214 -17.838374896478626 2 
2021-06-13 10:29:26.323590 [47.1066955, 7.216839833] 190.71 0.0 (47.106653985807164, 7.216847330313385) -4.0 1.0 turn_to_on_spot 168.7516251035214 -21.95837489647863 2 
2021-06-13 10:29:26.425654 [47.1066955, 7.216839833] 192.98 0.0 (47.106653985807164, 7.216847330313385) -5.0 2.0 turn_to_on_spot 168.7516251035214 -24.228374896478613 2 
2021-06-13 10:29:26.527370 [47.1066955, 7.216839833] 195.5 0.0 (47.106653985807164, 7.216847330313385) -7.0 2.0 turn_to_on_spot 168.7516251035214 -26.748374896478595 2 
2021-06-13 10:29:26.628976 [47.1066955, 7.216839833] 199.0 0.0 (47.106653985807164, 7.216847330313385) -9.0 3.0 turn_to_on_spot 168.7516251035214 -30.248374896478595 2 
2021-06-13 10:29:26.730758 [47.1066955, 7.216839833] 200.73 0.0 (47.106653985807164, 7.216847330313385) -10.0 3.0 turn_to_on_spot 168.7516251035214 -31.978374896478613 2 
2021-06-13 10:29:26.832466 [47.1066955, 7.216839833] 203.27 0.0 (47.106653985807164, 7.216847330313385) -11.0 4.0 turn_to_on_spot 168.7516251035214 -34.518374896478576 2 
2021-06-13 10:29:26.934155 [47.1066955, 7.216839833] 205.73 0.0 (47.106653985807164, 7.216847330313385) -13.0 4.0 turn_to_on_spot 168.7516251035214 -36.97837489647861 2 
2021-06-13 10:29:27.035850 [47.1066955, 7.216839833] 206.98 0.0 (47.106653985807164, 7.216847330313385) -13.0 4.0 turn_to_on_spot 168.7516251035214 -38.22837489647861 2 
2021-06-13 10:29:27.137542 [47.1066955, 7.216839833] 209.67 0.0 (47.106653985807164, 7.216847330313385) -15.0 5.0 turn_to_on_spot 168.7516251035214 -40.918374896478554 2 
2021-06-13 10:29:27.239272 [47.1066955, 7.216839833] 212.46 0.0 (47.106653985807164, 7.216847330313385) -16.0 5.0 turn_to_on_spot 168.7516251035214 -43.70837489647863 2 
2021-06-13 10:29:27.342491 [47.106697167, 7.216844] 213.71 1.725215033290921 (47.106653985807164, 7.216847330313385) -17.0 6.0 turn_to_on_spot 168.7516251035214 -44.95837489647863 2 
2021-06-13 10:29:27.444395 [47.106697167, 7.216844] 214.81 1.725215033290921 (47.106653985807164, 7.216847330313385) -18.0 6.0 turn_to_on_spot 168.7516251035214 -46.0583748964786 2 
2021-06-13 10:29:27.545986 [47.106697167, 7.216844] 218.17 1.725215033290921 (47.106653985807164, 7.216847330313385) -19.0 6.0 turn_to_on_spot 168.7516251035214 -49.418374896478554 2 
2021-06-13 10:29:27.647753 [47.106697167, 7.216844] 219.4 1.725215033290921 (47.106653985807164, 7.216847330313385) -20.0 7.0 turn_to_on_spot 168.7516251035214 -50.64837489647857 2 
2021-06-13 10:29:27.749351 [47.106697167, 7.216844] 220.55 1.725215033290921 (47.106653985807164, 7.216847330313385) -21.0 7.0 turn_to_on_spot 168.7516251035214 -51.798374896478606 2 
2021-06-13 10:29:27.850930 [47.106697167, 7.216844] 221.77 1.725215033290921 (47.106653985807164, 7.216847330313385) -21.0 7.0 turn_to_on_spot 168.7516251035214 -53.018374896478576 2 
2021-06-13 10:29:27.952594 [47.106697167, 7.216844] 222.91 1.725215033290921 (47.106653985807164, 7.216847330313385) -22.0 7.0 turn_to_on_spot 168.7516251035214 -54.15837489647856 2 
2021-06-13 10:29:28.054269 [47.106697167, 7.216844] 225.03 1.725215033290921 (47.106653985807164, 7.216847330313385) -23.0 8.0 turn_to_on_spot 168.7516251035214 -56.27837489647857 2 
2021-06-13 10:29:28.156691 [47.106697167, 7.216844] 225.03 0.0 (47.106653985807164, 7.216847330313385) -23.0 8.0 turn_to_on_spot 168.7516251035214 -56.27837489647857 2 
2021-06-13 10:29:28.259113 [47.106697, 7.2168435] 226.18 0.5308639582497677 (47.106653985807164, 7.216847330313385) -24.0 8.0 turn_to_on_spot 168.7516251035214 -57.4283748964786 2 
2021-06-13 10:29:28.361264 [47.106697, 7.2168435] 227.3 0.5308639582497677 (47.106653985807164, 7.216847330313385) -25.0 8.0 turn_to_on_spot 168.7516251035214 -58.548374896478606 2 
2021-06-13 10:29:28.463084 [47.106697, 7.2168435] 227.3 0.5308639582497677 (47.106653985807164, 7.216847330313385) -25.0 8.0 turn_to_on_spot 168.7516251035214 -58.548374896478606 2 
2021-06-13 10:29:28.564842 [47.106697, 7.2168435] 228.31 0.5308639582497677 (47.106653985807164, 7.216847330313385) -25.0 8.0 turn_to_on_spot 168.7516251035214 -59.5583748964786 2 
2021-06-13 10:29:28.666441 [47.106697, 7.2168435] 228.31 0.5308639582497677 (47.106653985807164, 7.216847330313385) -25.0 8.0 turn_to_on_spot 168.7516251035214 -59.5583748964786 2 
